Name,Full Path,Size,Files,Dir Level (Relative),Extension
1.jp2,Content/03823/image/1.jp2,7207888 Bytes,1,1,.jp2
2.jp2,Content/03823/image/2.jp2,5707680 Bytes,1,1,.jp2
3.jp2,Content/03823/image/3.jp2,1364563 Bytes,1,1,.jp2
4.jp2,Content/03823/image/4.jp2,9339767 Bytes,1,1,.jp2
5.jp2,Content/03823/image/5.jp2,9021190 Bytes,1,1,.jp2
6.jp2,Content/03823/image/6.jp2,5459725 Bytes,1,1,.jp2
7.jp2,Content/03823/image/7.jp2,3900482 Bytes,1,1,.jp2
8.jp2,Content/03823/image/8.jp2,8355861 Bytes,1,1,.jp2
9.jp2,Content/03823/image/9.jp2,4936781 Bytes,1,1,.jp2
10.jp2,Content/03823/image/10.jp2,8439341 Bytes,1,1,.jp2
11.jp2,Content/03823/image/11.jp2,5843806 Bytes,1,1,.jp2
12.jp2,Content/03823/image/12.jp2,5526147 Bytes,1,1,.jp2
13.jp2,Content/03823/image/13.jp2,5346487 Bytes,1,1,.jp2
14.jp2,Content/03823/image/14.jp2,6631703 Bytes,1,1,.jp2
15.jp2,Content/03823/image/15.jp2,4421239 Bytes,1,1,.jp2
16.jp2,Content/03823/image/16.jp2,5717755 Bytes,1,1,.jp2
17.jp2,Content/03823/image/17.jp2,5552527 Bytes,1,1,.jp2
18.jp2,Content/03823/image/18.jp2,3189328 Bytes,1,1,.jp2
19.jp2,Content/03823/image/19.jp2,4549087 Bytes,1,1,.jp2
20.jp2,Content/03823/image/20.jp2,4889422 Bytes,1,1,.jp2
21.jp2,Content/03823/image/21.jp2,4871106 Bytes,1,1,.jp2
22.jp2,Content/03823/image/22.jp2,3418191 Bytes,1,1,.jp2
23.jp2,Content/03823/image/23.jp2,3453785 Bytes,1,1,.jp2
24.jp2,Content/03823/image/24.jp2,1618035 Bytes,1,1,.jp2
25.jp2,Content/03823/image/25.jp2,5931031 Bytes,1,1,.jp2
26.jp2,Content/03823/image/26.jp2,7450322 Bytes,1,1,.jp2
27.jp2,Content/03823/image/27.jp2,4124151 Bytes,1,1,.jp2
28.jp2,Content/03823/image/28.jp2,8730902 Bytes,1,1,.jp2
29.jp2,Content/03823/image/29.jp2,6197882 Bytes,1,1,.jp2
30.jp2,Content/03823/image/30.jp2,4590004 Bytes,1,1,.jp2
31.jp2,Content/03823/image/31.jp2,4232561 Bytes,1,1,.jp2
32.jp2,Content/03823/image/32.jp2,6407961 Bytes,1,1,.jp2
33.jp2,Content/03823/image/33.jp2,6491744 Bytes,1,1,.jp2
34.jp2,Content/03823/image/34.jp2,8457797 Bytes,1,1,.jp2
35.jp2,Content/03823/image/35.jp2,8480283 Bytes,1,1,.jp2
36.jp2,Content/03823/image/36.jp2,4850683 Bytes,1,1,.jp2
37.jp2,Content/03823/image/37.jp2,5176958 Bytes,1,1,.jp2
38.jp2,Content/03823/image/38.jp2,7997590 Bytes,1,1,.jp2
39.jp2,Content/03823/image/39.jp2,5560232 Bytes,1,1,.jp2
40.jp2,Content/03823/image/40.jp2,4478429 Bytes,1,1,.jp2
41.jp2,Content/03823/image/41.jp2,4832218 Bytes,1,1,.jp2
42.jp2,Content/03823/image/42.jp2,5023089 Bytes,1,1,.jp2
43.jp2,Content/03823/image/43.jp2,4681979 Bytes,1,1,.jp2
44.jp2,Content/03823/image/44.jp2,6227031 Bytes,1,1,.jp2
45.jp2,Content/03823/image/45.jp2,5570074 Bytes,1,1,.jp2
46.jp2,Content/03823/image/46.jp2,989202 Bytes,1,1,.jp2
47.jp2,Content/03823/image/47.jp2,4948829 Bytes,1,1,.jp2
48.jp2,Content/03823/image/48.jp2,2539647 Bytes,1,1,.jp2
49.jp2,Content/03823/image/49.jp2,4533313 Bytes,1,1,.jp2
50.jp2,Content/03823/image/50.jp2,5228841 Bytes,1,1,.jp2
51.jp2,Content/03823/image/51.jp2,5858533 Bytes,1,1,.jp2
52.jp2,Content/03823/image/52.jp2,11674352 Bytes,1,1,.jp2
53.jp2,Content/03823/image/53.jp2,4775229 Bytes,1,1,.jp2
54.jp2,Content/03823/image/54.jp2,8965182 Bytes,1,1,.jp2
55.jp2,Content/03823/image/55.jp2,7385241 Bytes,1,1,.jp2
56.jp2,Content/03823/image/56.jp2,6212945 Bytes,1,1,.jp2
57.jp2,Content/03823/image/57.jp2,7785922 Bytes,1,1,.jp2
58.jp2,Content/03823/image/58.jp2,4969976 Bytes,1,1,.jp2
59.jp2,Content/03823/image/59.jp2,5291542 Bytes,1,1,.jp2
60.jp2,Content/03823/image/60.jp2,7268278 Bytes,1,1,.jp2
61.jp2,Content/03823/image/61.jp2,5092646 Bytes,1,1,.jp2
62.jp2,Content/03823/image/62.jp2,7732435 Bytes,1,1,.jp2
63.jp2,Content/03823/image/63.jp2,6556474 Bytes,1,1,.jp2
64.jp2,Content/03823/image/64.jp2,5029627 Bytes,1,1,.jp2
65.jp2,Content/03823/image/65.jp2,7573098 Bytes,1,1,.jp2
66.jp2,Content/03823/image/66.jp2,4771176 Bytes,1,1,.jp2
67.jp2,Content/03823/image/67.jp2,6620639 Bytes,1,1,.jp2
68.jp2,Content/03823/image/68.jp2,5413777 Bytes,1,1,.jp2
69.jp2,Content/03823/image/69.jp2,6124182 Bytes,1,1,.jp2
70.jp2,Content/03823/image/70.jp2,6855080 Bytes,1,1,.jp2
71.jp2,Content/03823/image/71.jp2,6592101 Bytes,1,1,.jp2
72.jp2,Content/03823/image/72.jp2,8226236 Bytes,1,1,.jp2
73.jp2,Content/03823/image/73.jp2,4957159 Bytes,1,1,.jp2
74.jp2,Content/03823/image/74.jp2,4701943 Bytes,1,1,.jp2
75.jp2,Content/03823/image/75.jp2,4331328 Bytes,1,1,.jp2
76.jp2,Content/03823/image/76.jp2,5981447 Bytes,1,1,.jp2
77.jp2,Content/03823/image/77.jp2,1620634 Bytes,1,1,.jp2
78.jp2,Content/03823/image/78.jp2,5297748 Bytes,1,1,.jp2
79.jp2,Content/03823/image/79.jp2,7518126 Bytes,1,1,.jp2
80.jp2,Content/03823/image/80.jp2,5879237 Bytes,1,1,.jp2
81.jp2,Content/03823/image/81.jp2,6822538 Bytes,1,1,.jp2
82.jp2,Content/03823/image/82.jp2,6771982 Bytes,1,1,.jp2
83.jp2,Content/03823/image/83.jp2,5066023 Bytes,1,1,.jp2
84.jp2,Content/03823/image/84.jp2,7624660 Bytes,1,1,.jp2
85.jp2,Content/03823/image/85.jp2,4346280 Bytes,1,1,.jp2
86.jp2,Content/03823/image/86.jp2,6914844 Bytes,1,1,.jp2
87.jp2,Content/03823/image/87.jp2,4290285 Bytes,1,1,.jp2
88.jp2,Content/03823/image/88.jp2,8678595 Bytes,1,1,.jp2
89.jp2,Content/03823/image/89.jp2,5407511 Bytes,1,1,.jp2
90.jp2,Content/03823/image/90.jp2,5353768 Bytes,1,1,.jp2
91.jp2,Content/03823/image/91.jp2,4428370 Bytes,1,1,.jp2
92.jp2,Content/03823/image/92.jp2,5102368 Bytes,1,1,.jp2
93.jp2,Content/03823/image/93.jp2,6447255 Bytes,1,1,.jp2
94.jp2,Content/03823/image/94.jp2,4766066 Bytes,1,1,.jp2
95.jp2,Content/03823/image/95.jp2,3608482 Bytes,1,1,.jp2
96.jp2,Content/03823/image/96.jp2,4476522 Bytes,1,1,.jp2
97.jp2,Content/03823/image/97.jp2,11791570 Bytes,1,1,.jp2
98.jp2,Content/03823/image/98.jp2,5427186 Bytes,1,1,.jp2
99.jp2,Content/03823/image/99.jp2,4932422 Bytes,1,1,.jp2
100.jp2,Content/03823/image/100.jp2,5615978 Bytes,1,1,.jp2
101.jp2,Content/03823/image/101.jp2,4405249 Bytes,1,1,.jp2
102.jp2,Content/03823/image/102.jp2,2896821 Bytes,1,1,.jp2
103.jp2,Content/03823/image/103.jp2,4965198 Bytes,1,1,.jp2
104.jp2,Content/03823/image/104.jp2,7970757 Bytes,1,1,.jp2
105.jp2,Content/03823/image/105.jp2,4647050 Bytes,1,1,.jp2
106.jp2,Content/03823/image/106.jp2,4073478 Bytes,1,1,.jp2
107.jp2,Content/03823/image/107.jp2,4906949 Bytes,1,1,.jp2
108.jp2,Content/03823/image/108.jp2,5925518 Bytes,1,1,.jp2
109.jp2,Content/03823/image/109.jp2,4978666 Bytes,1,1,.jp2
110.jp2,Content/03823/image/110.jp2,6963811 Bytes,1,1,.jp2
111.jp2,Content/03823/image/111.jp2,5139471 Bytes,1,1,.jp2
112.jp2,Content/03823/image/112.jp2,8576892 Bytes,1,1,.jp2
113.jp2,Content/03823/image/113.jp2,5091711 Bytes,1,1,.jp2
114.jp2,Content/03823/image/114.jp2,7366994 Bytes,1,1,.jp2
115.jp2,Content/03823/image/115.jp2,6613620 Bytes,1,1,.jp2
116.jp2,Content/03823/image/116.jp2,7327948 Bytes,1,1,.jp2
117.jp2,Content/03823/image/117.jp2,3460888 Bytes,1,1,.jp2
118.jp2,Content/03823/image/118.jp2,5496626 Bytes,1,1,.jp2
119.jp2,Content/03823/image/119.jp2,1393344 Bytes,1,1,.jp2
120.jp2,Content/03823/image/120.jp2,7106386 Bytes,1,1,.jp2
121.jp2,Content/03823/image/121.jp2,6413000 Bytes,1,1,.jp2
