Name,Full Path,Size,Files,Dir Level (Relative),Extension
bucket\03823_nccic\,bucket\03823_nccic\,94200660434 Bytes,5955,0,
03823_0072,bucket\03823_nccic\03823_0072\,2600354271 Bytes,234,1,
03823_0072.pdf,bucket\03823_nccic\03823_0072\03823_0072.pdf,114399315 Bytes,1,2,.pdf
03823_0072.txt,bucket\03823_nccic\03823_0072\03823_0072.txt,414376 Bytes,1,2,.txt
03823_0072_0001.tif,bucket\03823_nccic\03823_0072\03823_0072_0001.tif,5553382 Bytes,1,2,.tif
03823_0072_0002.tif,bucket\03823_nccic\03823_0072\03823_0072_0002.tif,4933341 Bytes,1,2,.tif
03823_0072_0003.tif,bucket\03823_nccic\03823_0072\03823_0072_0003.tif,8034133 Bytes,1,2,.tif
03823_0072_0004.tif,bucket\03823_nccic\03823_0072\03823_0072_0004.tif,8098758 Bytes,1,2,.tif
03823_0072_0005.tif,bucket\03823_nccic\03823_0072\03823_0072_0005.tif,7963986 Bytes,1,2,.tif
03823_0072_0006.tif,bucket\03823_nccic\03823_0072\03823_0072_0006.tif,7851164 Bytes,1,2,.tif
03823_0072_0007.tif,bucket\03823_nccic\03823_0072\03823_0072_0007.tif,7966482 Bytes,1,2,.tif
03823_0072_0008.tif,bucket\03823_nccic\03823_0072\03823_0072_0008.tif,11816653 Bytes,1,2,.tif
03823_0072_0009.tif,bucket\03823_nccic\03823_0072\03823_0072_0009.tif,7957439 Bytes,1,2,.tif
03823_0072_0010.tif,bucket\03823_nccic\03823_0072\03823_0072_0010.tif,7597295 Bytes,1,2,.tif
03823_0072_0011.tif,bucket\03823_nccic\03823_0072\03823_0072_0011.tif,7666134 Bytes,1,2,.tif
03823_0072_0012.tif,bucket\03823_nccic\03823_0072\03823_0072_0012.tif,5695860 Bytes,1,2,.tif
03823_0072_0013.tif,bucket\03823_nccic\03823_0072\03823_0072_0013.tif,5926469 Bytes,1,2,.tif
03823_0072_0014.tif,bucket\03823_nccic\03823_0072\03823_0072_0014.tif,5431063 Bytes,1,2,.tif
03823_0072_0015.tif,bucket\03823_nccic\03823_0072\03823_0072_0015.tif,5518590 Bytes,1,2,.tif
03823_0072_0016.tif,bucket\03823_nccic\03823_0072\03823_0072_0016.tif,11632473 Bytes,1,2,.tif
03823_0072_0017.tif,bucket\03823_nccic\03823_0072\03823_0072_0017.tif,10137297 Bytes,1,2,.tif
03823_0072_0018.tif,bucket\03823_nccic\03823_0072\03823_0072_0018.tif,12292466 Bytes,1,2,.tif
03823_0072_0019.tif,bucket\03823_nccic\03823_0072\03823_0072_0019.tif,11235994 Bytes,1,2,.tif
03823_0072_0020.tif,bucket\03823_nccic\03823_0072\03823_0072_0020.tif,13541938 Bytes,1,2,.tif
03823_0072_0021.tif,bucket\03823_nccic\03823_0072\03823_0072_0021.tif,11344058 Bytes,1,2,.tif
03823_0072_0022.tif,bucket\03823_nccic\03823_0072\03823_0072_0022.tif,11425910 Bytes,1,2,.tif
03823_0072_0023.tif,bucket\03823_nccic\03823_0072\03823_0072_0023.tif,11506907 Bytes,1,2,.tif
03823_0072_0024.tif,bucket\03823_nccic\03823_0072\03823_0072_0024.tif,11097786 Bytes,1,2,.tif
03823_0072_0025.tif,bucket\03823_nccic\03823_0072\03823_0072_0025.tif,11123428 Bytes,1,2,.tif
03823_0072_0026.tif,bucket\03823_nccic\03823_0072\03823_0072_0026.tif,11152694 Bytes,1,2,.tif
03823_0072_0027.tif,bucket\03823_nccic\03823_0072\03823_0072_0027.tif,11485515 Bytes,1,2,.tif
03823_0072_0028.tif,bucket\03823_nccic\03823_0072\03823_0072_0028.tif,10990636 Bytes,1,2,.tif
03823_0072_0029.tif,bucket\03823_nccic\03823_0072\03823_0072_0029.tif,10934625 Bytes,1,2,.tif
03823_0072_0030.tif,bucket\03823_nccic\03823_0072\03823_0072_0030.tif,13811237 Bytes,1,2,.tif
03823_0072_0031.tif,bucket\03823_nccic\03823_0072\03823_0072_0031.tif,11309351 Bytes,1,2,.tif
03823_0072_0032.tif,bucket\03823_nccic\03823_0072\03823_0072_0032.tif,13591383 Bytes,1,2,.tif
03823_0072_0033.tif,bucket\03823_nccic\03823_0072\03823_0072_0033.tif,13173164 Bytes,1,2,.tif
03823_0072_0034.tif,bucket\03823_nccic\03823_0072\03823_0072_0034.tif,11024879 Bytes,1,2,.tif
03823_0072_0035.tif,bucket\03823_nccic\03823_0072\03823_0072_0035.tif,11010713 Bytes,1,2,.tif
03823_0072_0036.tif,bucket\03823_nccic\03823_0072\03823_0072_0036.tif,11098531 Bytes,1,2,.tif
03823_0072_0037.tif,bucket\03823_nccic\03823_0072\03823_0072_0037.tif,11456704 Bytes,1,2,.tif
03823_0072_0038.tif,bucket\03823_nccic\03823_0072\03823_0072_0038.tif,11818339 Bytes,1,2,.tif
03823_0072_0039.tif,bucket\03823_nccic\03823_0072\03823_0072_0039.tif,13674512 Bytes,1,2,.tif
03823_0072_0040.tif,bucket\03823_nccic\03823_0072\03823_0072_0040.tif,11501116 Bytes,1,2,.tif
03823_0072_0041.tif,bucket\03823_nccic\03823_0072\03823_0072_0041.tif,13329933 Bytes,1,2,.tif
03823_0072_0042.tif,bucket\03823_nccic\03823_0072\03823_0072_0042.tif,8863665 Bytes,1,2,.tif
03823_0072_0043.tif,bucket\03823_nccic\03823_0072\03823_0072_0043.tif,12546631 Bytes,1,2,.tif
03823_0072_0044.tif,bucket\03823_nccic\03823_0072\03823_0072_0044.tif,15240779 Bytes,1,2,.tif
03823_0072_0045.tif,bucket\03823_nccic\03823_0072\03823_0072_0045.tif,12720729 Bytes,1,2,.tif
03823_0072_0046.tif,bucket\03823_nccic\03823_0072\03823_0072_0046.tif,9935743 Bytes,1,2,.tif
03823_0072_0047.tif,bucket\03823_nccic\03823_0072\03823_0072_0047.tif,11414414 Bytes,1,2,.tif
