Collection in Repository	Collection Number	Location in Collection	Object	Container Type	filename	Title	Alternative Title	Creator	Contributor	Creation Date	Date	Description	Subject (tgm)	Subject - Name	Subject - Topical	Subject - Geographic	Subject Topical Other	Coordinates	geonamesid	Digital Collection	Repository	Host	Usage Rights	Copyright Holder	Additional Display	Transcription	Caption	Notes	Title Note	Contributor Note	Sponsor	Related Resource	Author Chief Source	Publisher	Place of Publication	Cataloging Agency	Is Part Of	Has Part Of	Form	Resource Type	Medium	Condition	Language	Physical Description of Analog Original	Creator Nationality/Culture	Style/Period	Volume/Issue	Scale	Projection	Map Type	Map Details	Current Location	path	Local Identifier	Creator Identifier	Date created	Date modified	Object number	Object file name
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 20: Correspondence, 1947-1948: Scan 9	folder	03823_0020_0009.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	0	231.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 21: Correspondence, 1947-1948: Scan 17	folder	03823_0021_0017.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	1	430.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.	Folder 9: Correspondence, 1943: Scan 1	folder	03823_0009_0001.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	2	909.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 17: Correspondence, 1947-1948: Scan 16	folder	03823_0017_0016.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	3	59.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.	Folder 12: Correspondence, 1944-May 1946: Scan 44	folder	03823_0012_0044.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	4	152.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 16: Correspondence, 1947-1948: Scan 15	folder	03823_0016_0015.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	5	360.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.	Folder 9: Correspondence, 1943: Scan 15	folder	03823_0009_0015.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	6	503.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 19: Correspondence, 1947-1948: Scan 12	folder	03823_0019_0012.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	7	222.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 13: Correspondence, August-December 1946: Scan 6	folder	03823_0013_0006.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	8	408.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.	Folder 7: Correspondence, 1942: Scan 34	folder	03823_0007_0034.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	9	411.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.	Folder 7: Correspondence, 1942: Scan 32	folder	03823_0007_0032.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	10	543.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 18: Correspondence, 1947-1948: Scan 37	folder	03823_0018_0037.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	11	49.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 18: Correspondence, 1947-1948: Scan 40	folder	03823_0018_0040.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	12	106.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.	Folder 5: Correspondence, 1941: Scan 5	folder	03823_0005_0005.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	13	443.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 14: Correspondence, August-December 1946: Scan 4	folder	03823_0014_0004.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	14	501.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.	Folder 2: Correspondence, 1931-1937: Scan 37	folder	03823_0002_0037.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	15	272.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.	Folder 6: Correspondence, 1941: Scan 45	folder	03823_0006_0045.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	16	158.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.	Folder 3: Correspondence, 1938-1939: Scan 7	folder	03823_0003_0007.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	17	630.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 15: Correspondence, August-December 1946: Scan 2	folder	03823_0015_0002.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	18	491.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.	Folder 2: Correspondence, 1931-1937: Scan 24	folder	03823_0002_0024.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	19	81.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 17: Correspondence, 1947-1948: Scan 30	folder	03823_0017_0030.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	20	951.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.	Folder 6: Correspondence, 1941: Scan 25	folder	03823_0006_0025.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	21	818.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 22: Correspondence, 1947-1948: Scan 14	folder	03823_0022_0014.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	22	736.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.	Folder 5: Correspondence, 1941: Scan 16	folder	03823_0005_0016.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	23	554.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 21: Correspondence, 1947-1948: Scan 33	folder	03823_0021_0033.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	24	440.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.	Folder 10: Correspondence, 1944-May 1946: Scan 6	folder	03823_0010_0006.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	25	892.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.	Folder 9: Correspondence, 1943: Scan 14	folder	03823_0009_0014.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	26	445.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 20: Correspondence, 1947-1948: Scan 10	folder	03823_0020_0010.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	27	644.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.	Folder 6: Correspondence, 1941: Scan 43	folder	03823_0006_0043.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	28	384.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.	Folder 8: Correspondence, 1942: Scan 17	folder	03823_0008_0017.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	29	572.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.	Folder 12: Correspondence, 1944-May 1946: Scan 30	folder	03823_0012_0030.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	30	651.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 14: Correspondence, August-December 1946: Scan 10	folder	03823_0014_0010.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	31	556.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 19: Correspondence, 1947-1948: Scan 33	folder	03823_0019_0033.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	32	592.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.	Folder 5: Correspondence, 1941: Scan 7	folder	03823_0005_0007.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	33	695.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.	Folder 5: Correspondence, 1941: Scan 20	folder	03823_0005_0020.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	34	64.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 20: Correspondence, 1947-1948: Scan 8	folder	03823_0020_0008.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	35	159.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 20: Correspondence, 1947-1948: Scan 28	folder	03823_0020_0028.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	36	52.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 15: Correspondence, August-December 1946: Scan 10	folder	03823_0015_0010.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	37	537.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.	Folder 6: Correspondence, 1941: Scan 4	folder	03823_0006_0004.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	38	281.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 19: Correspondence, 1947-1948: Scan 1	folder	03823_0019_0001.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	39	266.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.	Folder 6: Correspondence, 1941: Scan 44	folder	03823_0006_0044.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	40	371.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 22: Correspondence, 1947-1948: Scan 33	folder	03823_0022_0033.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	41	205.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 16: Correspondence, 1947-1948: Scan 34	folder	03823_0016_0034.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	42	854.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 17: Correspondence, 1947-1948: Scan 24	folder	03823_0017_0024.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	43	640.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 22: Correspondence, 1947-1948: Scan 19	folder	03823_0022_0019.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	44	645.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 16: Correspondence, 1947-1948: Scan 62	folder	03823_0016_0062.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	45	24.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.	Folder 6: Correspondence, 1941: Scan 31	folder	03823_0006_0031.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	46	96.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 19: Correspondence, 1947-1948: Scan 16	folder	03823_0019_0016.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	47	771.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.	Folder 21: Correspondence, 1947-1948: Scan 52	folder	03823_0021_0052.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	48	464.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.	Folder 4: Correspondence, 1940: Scan 37	folder	03823_0004_0037.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	49	366.jp2
North Carolina Commission on Interracial Cooperation Records, 1922-1949	03823	Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.	Folder 1: Correspondence, 1922-1929: Scan 21	folder	03823_0001_0021.tif																		For copyright information or permissions questions, see our intellectual property statement 																																	2012-01-26	2012-01-26	50	472.jp2
