Title	Description	Transcription	Contributor Note	Notes	Subject (tgm)	Subject Name	Subject Geographic	Subject Topical	Creator	Finding Aid	Collection in Repository	Collection Number	Location in Collection	Object	Container type	filename	Alternative Title	Contributor	Creation Date	Date	Subject Topical Other	Coordinates	geonamesid	Digital Collection	Usage Rights	Copyright Holder	Additional Display	Caption	Title Note	Sponsor	Related Resource	Author Chief Source	Publisher	Place of Publication	Cataloging Agency	Is Part Of	Has Part Of	Form	Resource Type	Medium	Condition	Language	Physical Description of Analog Original	Creator Nationality/Culture	Style/Period	Volume/Issue	Scale	Projection	Map Type	Map Details	Current Location	Local Identifier	Creator Identifier	Search by Decade	Pagination	Sort Me	StreamingFile	Date created	Date modified
Young protesters	Three young protesters wearing white headbands in kamikaze style to demonstrate their commitment to hunger strike.		Bujak’s comment: "Bands around heads (kamikaze style) symbolize commitment to hunger strike."		Activists; Headbands (Headgear); Men; Women; Young adults; Revolutionaries;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine);		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0003: Central Independence Square events: Conversation and Debate, November-December 2004: Digital image 04	digfolder	60001_df0003_004.tif			2004	27 November 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/																												DSC05905.JPG					2014-07-31	2015-03-27
Yanukovych supporters	Two Viktor Yanukovych supporters stand wearing light blue ribbons, the color of the Yanukovych party. The girl is wearing a light blue scarf which reads "I am going to vote" and the young man is wearing an orange scarf which represents the Donetsk soccer team called Shakhter.	Blue scarf reads: Я. Иду на выборы.  Orange scarf reads: Шахтер чемпион. Донецк.			Ribbons; Scarves;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine);		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004; finding aid: http://www2.lib.unc.edu/mss/inv/Z/Zbigniew_Bujak.html	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0007: Central Independence Square events: Fashion, November-December 2004: Digital image 002	digfolder	60001_df0007_002.tif			2004	27 November 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														DSC05936.JPG					2014-07-31	2014-12-03
Young protestor	A little girl is distracted by something above her while being help up by her father. On top of her warm winter coat she is wearing pro-Yushchenko attire to demonstrate her support for the presidential candidate.				Hats; Capes (Clothing); Children; Night photographs;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0007: Central Independence Square events: Fashion, November-December 2004: Digital image 086	digfolder	60001_df0007_086.tif			2004	10 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														00014.tif					2014-07-31	2014-12-03
Information van on a Kyiv street	Pedestrians are reading pro-Yushchenko information leaflets taped to the rear window of a minivan parked on a Kyiv street. Several people have orange ribbons tied to their clothes. There are orange ribbons tied to the fence in the background.		Bujak's comment: Revolution needs rapid flow and easy access to information. Everybody needs to know what is happening.  This is a key requirement for the leaders (if they have been already chosen) to be trusted. The organizers of the Orange Revolution realized that and found a very efficient way to inform the citizens. Here you see two mobile information centers established on private cars. They head out to the city every morning. While there, they change their location frequently to get the information to everybody.		Protests; Protest posters; Broadsides; Reading; Communication; Communication devices; Leaflets; Automobiles; Ribbons; Fliers (Printed matter); Pedestrians;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0001: Central Independence Square events: Protesters and Signs, November-December 2004: Digital image: 123	digfolder	60001_df0001_123.tif			2004	5 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														DSC06486.JPG					2014-07-31	2015-06-15
Protesters mingling outside the Central Terminal	Protesters are mingling outside of the Central Terminal of the Kyiv Passenger Railway Station. A stage has been erected near the Terminal entrance. Yushchenko supporters are wearing orange plastic ponchos, orange ribbons and headbands. One man is holding on orange Yushchenko flag on a long pole. Yanukovych supporters are wearing blue ribbons and waving blue and white Yanukovych flags and a large banner. It is snowing. There is snow on the white van to the left of the stage.	The blue and white Yanukovych banner reads: "За Януковича! Вибiр 2004" (For Yanukovych! The choice for 2004.) The orange Yushchenko flag reads: Вiрю Знаю Можемо. Так! (I believe, I know, we can. Yes!)			Political parades & rallies; Flags; Ribbons; Crowds; Stages (Platforms); Activists; Banners; Protests; Railroad stations;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine);		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0001: Central Independence Square events: Protesters and Signs, November-December 2004: Digital image: 005	digfolder	60001_df0001_005.tif			2004	27 November 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														DSC05949.JPG					2014-07-31	2015-06-25
Marching towards the Supreme Council	Protestors are marching towards Supreme Council. They are holding bouquets of flower arrangements as well as holding up flags and wearing orange ribbons.				Flags; Flower arrangements; Crowds; Ribbons;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0001: Central Independence Square events: Protesters and Signs, November-December 2004: Digital image: 134	digfolder	60001_df0001_134.tif			2004	7 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														DSC06516.JPG					2014-07-31	2015-03-27
Crazy orange hair day	Two young Yushchenko supporters have decorated their hats and are wearing orange scarves and ribbons to demonstrate their support for Yushchenko. In the background, other protestors can be seen wearing orange ribbons and a Yushchenko flag.				Hats; Scarves; Ribbons; Night photographs; Women;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0007: Central Independence Square events: Fashion, November-December 2004: Digital image 052	digfolder	60001_df0007_052.tif			2004	10 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														00034.tif					2014-07-31	2014-12-03
Young revolutionaries	Kids are waving their orange Yushchenko flags while observing the events happening at Maidan.				Children; Flags; Hats; Ribbons;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0008: Central Independence Square events: Celebrations, November-December 2004: Digital image 16	digfolder	60001_df0008_16.tif			2004	10 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														00020.tif					2014-07-31	2014-11-18
Yushchenko supporters rallying on Vokzal'na Square	Yushchenko supporters are rallying on Vokzal'na Square, outside of the Kyiv Passenger Railway Station. The Polissia shopping center is visible in the background. Several protesters have climbed onto a platform; they are waiving orange flags in support of  Yushchenko. A Ukrainian flag with the word "Галичина" written across it indicates that some protesters are from Galicia. Many protesters mingling below are wearing plastic orange ponchos, orange clothing or orange ribbons in support of Yushchenko. One of them must be from L'viv -- the name of that city is written on his poncho, with the "Freedom cannot be stopped" sticker below.	The sign on the shopping center reads: "Полiсся Торговельний центр". The street sign above reads: "Вулиця Л. Толстого". The signs for the arcade read: "Гральнi автомати". The Ukrainian flag has the word "Галичина" written across it. The orange Yushchenko flag reads: Вiрю, знаю, можемо. Так! (I believe, I know, we can. Yes!) The protesters orange poncho has the word "Львiв" written on the back. The sticker reads: “Свободу не спинити” (Freedom cannot be stopped.)			Political parades & rallies; Activists; Banners; Flags; Crowds; Capes (Clothing); Ribbons; Protests; Shopping centers; Plazas;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine);		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0001: Central Independence Square events: Protesters and Signs, November-December 2004: Digital image: 003	digfolder	60001_df0001_003.tif			2004	27 November 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														DSC05919.JPG					2014-07-31	2015-06-25
Shevchenko and the Orange Revolution	Protestors march through Kiev, most likely towards the Supreme Council. A couple in the front is holding up a sign with a quote from the most beloved Ukrainian author Taras Shevchenko.	Yellow sign reads:  Борітеся - поборете, вам Бог помагає!   Національний музей Тараса Шевченка			Ribbons; Scarves; Posters; Signs (Notices);		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0001: Central Independence Square events: Protesters and Signs, November-December 2004: Digital image: 166	digfolder	60001_df0001_166.tif			2004	10 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														00027 (4).tif					2014-07-31	2015-03-27
