Title,Alternative Title,Creator,Contributor,Creation Date,Date,Search by Decade,Description,Subject (tgm),Subject Topical,Subject Name,Subject Geographic,Title Note,DCMI Type,Caption,Contributor Note,Notes,Original Form,Resource Type,Geographic Location,Language Code,Language,Physical Description of Original,Medium of Original,Collection in Repository,Digital Collection,N.C. Ed. Standard,URL,Local Identifier,Creator Identifier,filename,Copyright,Usage Rights,Raw Scan Filename,Date created,Date modified
Redoubt C,,"Gilmer, Jeremy Francis, 1818-1883.","Fitz, Newton.",1861; 1862; 1863; 1864; 1865,undated,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A map of Redoubt C drawn under the direction of Lieutenant Colonel V. Sheliha, Chief Engineer, Department of the Gulf by Newton Fitz, assistant engineer (hand-drawn).",Maps,"United States--History--Civil War, 1861-1865.;","Fitz, Newton.; Gilmer, Jeremy Francis, 1818-1883.;","Alabama--History--Maps.; Confederate States of America--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,Map was drawn by Newton Fitz.,Paper is discolored.,Maps,Still Image,"United States, Alabama",eng,English,"20-1/2"" H x 22-1/8"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/182,Gilmer Map Number 7,276_182_E.tif,Public Domain,,276_182.tif,2005-11-23,2015-09-14
Plan of Battery McIntosh,,"Gilmer, Jeremy Francis, 1818-1883.","Fitz, Newton.",1861; 1862; 1863; 1864; 1865,undated,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A map of the plan of Battery McIntosh, drawn under the direction of Brigadeer General D. Leadbetter (hand-drawn and colored).",Maps,"United States--History--Civil War, 1861-1865.;","Fitz, Newton.; Gilmer, Jeremy Francis, 1818-1883.;","Alabama--History--Maps.; Confederate States of America--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,"Map is signed ""Newton Fitz, draughtsman"".",Paper is torn at edges and bottom right-hand corner is missing.,Maps,Still Image,"United States, Alabama",eng,English,"24-1/4"" H x 20"" W",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/183,Gilmer Map Number 8,276_183_E.tif,Public Domain,,276_183.tif,2005-11-23,2015-09-14
"Fort DeRussy on Red River, Louisiana",,"Gilmer, Jeremy Francis, 1818-1883.",,1864,1864,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"The plans of Fort DeRussy and obstructions of the Red River below Fort DeRussy, drawn under the direction of Captain R. M. Venable (hand-drawn).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.;","Confederate States of America--Maps.; Louisiana--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,,Paper is torn along center fold.,Maps,Still Image,"United States, Louisiana",eng,English,"17-1/2"" H x 21-1/4"" W",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/203,Gilmer Map Number 196,276_203_E.tif,Public Domain,,276_203.tif,2005-12-08,2015-09-14
Map of the country adjacent to Smithville,,"Gilmer, Jeremy Francis, 1818-1883.","Blackford, B. L. (Benjamin Lewis)",1864,1864,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A map of the area adjacent to Smithville, made under the direction of Captain W. H. James by B. L. Blackford (hand-drawn and colored).",Maps,"United States--History--Civil War, 1861-1865.;","Blackford, B. L. (Benjamin Lewis); Gilmer, Jeremy Francis, 1818-1883.;","Confederate States of America--Maps.; North Carolina--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,Map was made by B. L. Blackford.,Paper is discolored.,Maps,Still Image,"United States, North Carolina",eng,English,"17-3/4"" H x 29-3/4"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/241,Gilmer Map Number 316,276_241_E.tif,Public Domain,,276_241.tif,2005-12-08,2015-09-14
Fort Fisher and adjoining fortifications,,"Gilmer, Jeremy Francis, 1818-1883.","Turner, L. C.",1863,1863,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A map of Fort Fisher and adjoining fortifications, surveyed and mapped under the direction of W. H. James by L. C. Turner (hand-drawn).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.; Turner, L. C.","Confederate States of America--Maps.; North Carolina--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,Map was surveyed and mapped by L. C. Turner.,Paper is torn along right and left edges.,Maps,Still Image,"United States, North Carolina",eng,English,"20"" H x 28-1/8"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/245A,Gilmer Map Number 320A,276_245a_E.tif,Public Domain,,276_245a.tif,2005-12-08,2015-09-14
Plans of officer and soldier quarters and magazine,,"Gilmer, Jeremy Francis, 1818-1883.",,1861; 1862; 1863; 1864; 1865,undated,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,Sketches of plans of a wharf and of officer and soldier quarters (hand-drawn).,Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.;","Alabama--History--Maps.; Confederate States of America--Maps.;  United States--History--Civil War, 1861-1865--Maps.;",Title supplied by repository.,Image,,,,Maps,Still Image,"United States, Alabama",eng,English,"19-1/4"" H x 24-7/8"" W",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/186,Gilmer Map Number 11,276_186_E.tif,Public Domain,,276_186.tif,2005-12-08,2015-09-14
Map of the vicinity of Wilmington,,"Gilmer, Jeremy Francis, 1818-1883.","Blackford, B. L. (Benjamin Lewis)",1861; 1862; 1863; 1864; 1865,undated,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A map of the vicinity of Wilmington, made under the direction of Captain W. H. James by B. L. Blackford (hand-drawn and colored).",Maps,"United States--History--Civil War, 1861-1865.;","Blackford, B. L. (Benjamin Lewis); Gilmer, Jeremy Francis, 1818-1883.;","Confederate States of America--Maps.; North Carolina--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,Map was made by B. L. Blackford.,,Maps,Still Image,"United States, North Carolina",eng,English,"13-1/2"" H x 17-1/8"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/238,Gilmer Map Number 313,276_238_E.tif,Public Domain,,276_238.tif,2005-12-08,2015-09-14
Environs of Shreveport and its defences,,"Gilmer, Jeremy Francis, 1818-1883.","Helferich, P.",1864,1864,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A map of the environs of Shreveport and its defences, surveyed and drawn under the direction of Captain R. M. Venable, Chief of Topographical Bureau of western Louisiana and Arkansas by P. Helferich (hand-drawn and colored).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.; Helferich, P.","Confederate States of America--Maps.; Louisiana--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,Map was surveyed and drawn by P. Helferich.,"Paper is torn throughout, and information is missing.",Maps,Still Image,"United States, Louisiana",eng,English,"23-1/4"" H x 26-1/4"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/194,Gilmer Map Number 177,276_194_E.tif,Public Domain,,276_194.tif,2005-12-08,2015-09-14
Letter D: casemate,,"Gilmer, Jeremy Francis, 1818-1883.",,1861; 1862; 1863; 1864; 1865,undated,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,Detailed drawings of plans for a casemate (hand-drawn).,Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.;","Confederate States of America--Maps.; Texas--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title supplied by repository.,Image,,,,Maps,Still Image,"United States, Texas",eng,English,"9-1/4"" H x 14-1/2"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/193,Gilmer Map Number 144C,276_193_E.tif,Public Domain,,276_193.tif,2005-12-08,2015-09-14
Louisburg north to Halifax south to Battleboro area,,"Gilmer, Jeremy Francis, 1818-1883.",,1861; 1862; 1863; 1864; 1865,undated,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,A map of Louisburg north to Halifax south to the Battleboro area (hand-drawn).,Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.;","Confederate States of America--Maps.; North Carolina--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title supplied by repository.,Image,,,Paper is faded.,Maps,Still Image,"United States, North Carolina",eng,English,"16-3/8"" H x 20-5/8"" W",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/231,Gilmer Map Number 308B,276_231_E.tif,Public Domain,,276_231.tif,2005-12-08,2015-09-14
