,Name,Size,Extension,sizenum
1251,03823_0052_0066.jp2,1213240 Bytes,.jp2,1213240
1300,03823_0052_0115.jp2,1359450 Bytes,.jp2,1359450
627,03823_0071_0033.jp2,1532152 Bytes,.jp2,1532152
1638,03823_0070_0096.jp2,1536250 Bytes,.jp2,1536250
1639,03823_0070_0097.jp2,1651254 Bytes,.jp2,1651254
238,03823_0088_0001.jp2,1685189 Bytes,.jp2,1685189
648,03823_0071_0054.jp2,1709088 Bytes,.jp2,1709088
4820,03823_0032_0038.jp2,1714643 Bytes,.jp2,1714643
4306,03823_0042_0017.jp2,1735255 Bytes,.jp2,1735255
693,03823_0071_0099.jp2,1757631 Bytes,.jp2,1757631
685,03823_0071_0091.jp2,1818887 Bytes,.jp2,1818887
1285,03823_0052_0100.jp2,1887469 Bytes,.jp2,1887469
4819,03823_0032_0037.jp2,1905182 Bytes,.jp2,1905182
642,03823_0071_0048.jp2,1927150 Bytes,.jp2,1927150
4818,03823_0032_0036.jp2,1948038 Bytes,.jp2,1948038
1325,03823_0053_0012.jp2,1971150 Bytes,.jp2,1971150
1327,03823_0053_0014.jp2,2008277 Bytes,.jp2,2008277
1326,03823_0053_0013.jp2,2025299 Bytes,.jp2,2025299
1323,03823_0053_0010.jp2,2051265 Bytes,.jp2,2051265
2989,03823_0055_0001.jp2,2114116 Bytes,.jp2,2114116
1328,03823_0053_0015.jp2,2114417 Bytes,.jp2,2114417
1324,03823_0053_0011.jp2,2132280 Bytes,.jp2,2132280
4234,03823_0009_0002.jp2,2237524 Bytes,.jp2,2237524
990,03823_0067_0080.jp2,2256107 Bytes,.jp2,2256107
5135,03823_0001_0012.jp2,2312864 Bytes,.jp2,2312864
1553,03823_0070_0011.jp2,2345513 Bytes,.jp2,2345513
2475,03823_0050_0051.jp2,2363162 Bytes,.jp2,2363162
3022,03823_0055_0034.jp2,2373158 Bytes,.jp2,2373158
5404,03823_0011_0013.jp2,2443984 Bytes,.jp2,2443984
3553,03823_0084_0051.jp2,2454317 Bytes,.jp2,2454317
1624,03823_0070_0082.jp2,2598900 Bytes,.jp2,2598900
2990,03823_0055_0002.jp2,2619904 Bytes,.jp2,2619904
5449,03823_0044_0015.jp2,2627671 Bytes,.jp2,2627671
606,03823_0071_0012.jp2,2650592 Bytes,.jp2,2650592
755,03823_0071_0161.jp2,2662622 Bytes,.jp2,2662622
3463,03823_0041_0032.jp2,2678219 Bytes,.jp2,2678219
1631,03823_0070_0089.jp2,2693450 Bytes,.jp2,2693450
5450,03823_0044_0016.jp2,2701185 Bytes,.jp2,2701185
1282,03823_0052_0097.jp2,2722560 Bytes,.jp2,2722560
3850,03823_0027_0028.jp2,2736766 Bytes,.jp2,2736766
4203,03823_0051_0029.jp2,2751234 Bytes,.jp2,2751234
5067,03823_0083_0039.jp2,2760444 Bytes,.jp2,2760444
1350,03823_0053_0037.jp2,2764195 Bytes,.jp2,2764195
3434,03823_0041_0003.jp2,2783799 Bytes,.jp2,2783799
887,03823_0048_0123.jp2,2789207 Bytes,.jp2,2789207
5403,03823_0011_0012.jp2,2797439 Bytes,.jp2,2797439
1549,03823_0070_0007.jp2,2802021 Bytes,.jp2,2802021
1342,03823_0053_0029.jp2,2833184 Bytes,.jp2,2833184
619,03823_0071_0025.jp2,2845742 Bytes,.jp2,2845742
5671,03823_0038_0035.jp2,2942171 Bytes,.jp2,2942171
4804,03823_0032_0022.jp2,2946152 Bytes,.jp2,2946152
4201,03823_0051_0027.jp2,2951918 Bytes,.jp2,2951918
1348,03823_0053_0035.jp2,2956038 Bytes,.jp2,2956038
1347,03823_0053_0034.jp2,2988663 Bytes,.jp2,2988663
1410,03823_0053_0097.jp2,3007995 Bytes,.jp2,3007995
731,03823_0071_0137.jp2,3029535 Bytes,.jp2,3029535
4805,03823_0032_0023.jp2,3032931 Bytes,.jp2,3032931
2967,03823_0010_0056.jp2,3034799 Bytes,.jp2,3034799
4281,03823_0009_0049.jp2,3044084 Bytes,.jp2,3044084
1349,03823_0053_0036.jp2,3062649 Bytes,.jp2,3062649
4202,03823_0051_0028.jp2,3065636 Bytes,.jp2,3065636
884,03823_0048_0120.jp2,3069394 Bytes,.jp2,3069394
1409,03823_0053_0096.jp2,3077862 Bytes,.jp2,3077862
1412,03823_0053_0099.jp2,3091507 Bytes,.jp2,3091507
1562,03823_0070_0020.jp2,3098101 Bytes,.jp2,3098101
4615,03823_0003_0047.jp2,3102723 Bytes,.jp2,3102723
1633,03823_0070_0091.jp2,3111100 Bytes,.jp2,3111100
1343,03823_0053_0030.jp2,3114993 Bytes,.jp2,3114993
1411,03823_0053_0098.jp2,3131588 Bytes,.jp2,3131588
6015,03823_0074_0001.jp2,3170244 Bytes,.jp2,3170244
3198,03823_0028_0057.jp2,3171716 Bytes,.jp2,3171716
4124,03823_0021_0008.jp2,3180222 Bytes,.jp2,3180222
5394,03823_0011_0003.jp2,3213318 Bytes,.jp2,3213318
3155,03823_0028_0014.jp2,3214107 Bytes,.jp2,3214107
4821,03823_0032_0039.jp2,3215417 Bytes,.jp2,3215417
4659,03823_0004_0037.jp2,3217140 Bytes,.jp2,3217140
4658,03823_0004_0036.jp2,3223802 Bytes,.jp2,3223802
5395,03823_0011_0004.jp2,3224486 Bytes,.jp2,3224486
5411,03823_0011_0020.jp2,3225910 Bytes,.jp2,3225910
3202,03823_0028_0061.jp2,3230081 Bytes,.jp2,3230081
1413,03823_0053_0100.jp2,3236854 Bytes,.jp2,3236854
605,03823_0071_0011.jp2,3251700 Bytes,.jp2,3251700
643,03823_0071_0049.jp2,3281478 Bytes,.jp2,3281478
5875,03823_0033_0023.jp2,3300547 Bytes,.jp2,3300547
5877,03823_0033_0025.jp2,3342630 Bytes,.jp2,3342630
5412,03823_0011_0021.jp2,3345076 Bytes,.jp2,3345076
3200,03823_0028_0059.jp2,3351765 Bytes,.jp2,3351765
5416,03823_0011_0025.jp2,3352569 Bytes,.jp2,3352569
2640,03823_0035_0050.jp2,3355995 Bytes,.jp2,3355995
1830,03823_0022_0075.jp2,3368017 Bytes,.jp2,3368017
1829,03823_0022_0074.jp2,3377995 Bytes,.jp2,3377995
3772,03823_0025_0011.jp2,3378414 Bytes,.jp2,3378414
5879,03823_0033_0027.jp2,3378791 Bytes,.jp2,3378791
3765,03823_0025_0004.jp2,3379512 Bytes,.jp2,3379512
3156,03823_0028_0015.jp2,3383333 Bytes,.jp2,3383333
3206,03823_0028_0065.jp2,3384538 Bytes,.jp2,3384538
2655,03823_0035_0065.jp2,3385822 Bytes,.jp2,3385822
1828,03823_0022_0073.jp2,3389889 Bytes,.jp2,3389889
3919,03823_0030_0038.jp2,3398259 Bytes,.jp2,3398259
5876,03823_0033_0024.jp2,3399222 Bytes,.jp2,3399222
2657,03823_0035_0067.jp2,3407931 Bytes,.jp2,3407931
4684,03823_0057_0008.jp2,3416192 Bytes,.jp2,3416192
4686,03823_0057_0010.jp2,3416600 Bytes,.jp2,3416600
170,03823_0072_0168.jp2,3418710 Bytes,.jp2,3418710
4694,03823_0057_0018.jp2,3418901 Bytes,.jp2,3418901
4680,03823_0057_0004.jp2,3423014 Bytes,.jp2,3423014
2652,03823_0035_0062.jp2,3426614 Bytes,.jp2,3426614
2658,03823_0035_0068.jp2,3430999 Bytes,.jp2,3430999
4692,03823_0057_0016.jp2,3436769 Bytes,.jp2,3436769
5880,03823_0033_0028.jp2,3438689 Bytes,.jp2,3438689
4616,03823_0003_0048.jp2,3447744 Bytes,.jp2,3447744
4726,03823_0057_0050.jp2,3448864 Bytes,.jp2,3448864
4688,03823_0057_0012.jp2,3453740 Bytes,.jp2,3453740
4710,03823_0057_0034.jp2,3461449 Bytes,.jp2,3461449
4696,03823_0057_0020.jp2,3461656 Bytes,.jp2,3461656
4682,03823_0057_0006.jp2,3462809 Bytes,.jp2,3462809
1548,03823_0070_0006.jp2,3464854 Bytes,.jp2,3464854
2656,03823_0035_0066.jp2,3470863 Bytes,.jp2,3470863
4704,03823_0057_0028.jp2,3477228 Bytes,.jp2,3477228
4678,03823_0057_0002.jp2,3478456 Bytes,.jp2,3478456
4690,03823_0057_0014.jp2,3478685 Bytes,.jp2,3478685
2660,03823_0035_0070.jp2,3480787 Bytes,.jp2,3480787
4706,03823_0057_0030.jp2,3481924 Bytes,.jp2,3481924
4714,03823_0057_0038.jp2,3482289 Bytes,.jp2,3482289
1270,03823_0052_0085.jp2,3483233 Bytes,.jp2,3483233
4720,03823_0057_0044.jp2,3483404 Bytes,.jp2,3483404
1220,03823_0052_0035.jp2,3483434 Bytes,.jp2,3483434
2155,03823_0063_0004.jp2,3489858 Bytes,.jp2,3489858
4702,03823_0057_0026.jp2,3490683 Bytes,.jp2,3490683
5878,03823_0033_0026.jp2,3492780 Bytes,.jp2,3492780
623,03823_0071_0029.jp2,3497670 Bytes,.jp2,3497670
1827,03823_0022_0072.jp2,3501474 Bytes,.jp2,3501474
4724,03823_0057_0048.jp2,3506302 Bytes,.jp2,3506302
4282,03823_0009_0050.jp2,3514185 Bytes,.jp2,3514185
3207,03823_0028_0066.jp2,3517173 Bytes,.jp2,3517173
4712,03823_0057_0036.jp2,3517794 Bytes,.jp2,3517794
4722,03823_0057_0046.jp2,3521349 Bytes,.jp2,3521349
4700,03823_0057_0024.jp2,3523714 Bytes,.jp2,3523714
166,03823_0072_0164.jp2,3527963 Bytes,.jp2,3527963
4716,03823_0057_0040.jp2,3533811 Bytes,.jp2,3533811
4725,03823_0057_0049.jp2,3534551 Bytes,.jp2,3534551
4718,03823_0057_0042.jp2,3539689 Bytes,.jp2,3539689
2452,03823_0050_0028.jp2,3547149 Bytes,.jp2,3547149
622,03823_0071_0028.jp2,3549347 Bytes,.jp2,3549347
4679,03823_0057_0003.jp2,3552456 Bytes,.jp2,3552456
3103,03823_0039_0038.jp2,3563209 Bytes,.jp2,3563209
171,03823_0072_0169.jp2,3566171 Bytes,.jp2,3566171
4683,03823_0057_0007.jp2,3573643 Bytes,.jp2,3573643
4685,03823_0057_0009.jp2,3576530 Bytes,.jp2,3576530
4709,03823_0057_0033.jp2,3584662 Bytes,.jp2,3584662
4691,03823_0057_0015.jp2,3586006 Bytes,.jp2,3586006
3203,03823_0028_0062.jp2,3593233 Bytes,.jp2,3593233
4697,03823_0057_0021.jp2,3593988 Bytes,.jp2,3593988
4681,03823_0057_0005.jp2,3595674 Bytes,.jp2,3595674
4693,03823_0057_0017.jp2,3611555 Bytes,.jp2,3611555
637,03823_0071_0043.jp2,3611687 Bytes,.jp2,3611687
