Collection in Repository,Collection Number,Location in Collection,Object,Container Type,MastersName,Usage Rights,Date created,Date modified,Object number,AccessName,AccessFilePath,AccessFileSize,AccessSizeNum,MasterFilePath,MasterFileSize,MasterSizeNum
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 20: Correspondence, 1947-1948: Scan 9",folder,03823_0020_0009.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,0,231.jp2,Content/03823/image/231.jp2,8524803 Bytes,8524803,bucket\03823_nccic\03823_0020\03823_0020_0009.tif,23654901 Bytes,23654901
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 21: Correspondence, 1947-1948: Scan 17",folder,03823_0021_0017.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,1,430.jp2,Content/03823/image/430.jp2,10099338 Bytes,10099338,bucket\03823_nccic\03823_0021\03823_0021_0017.tif,20547567 Bytes,20547567
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.","Folder 9: Correspondence, 1943: Scan 1",folder,03823_0009_0001.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,2,909.jp2,Content/03823/image/909.jp2,5920711 Bytes,5920711,bucket\03823_nccic\03823_0009\03823_0009_0001.tif,20210038 Bytes,20210038
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 17: Correspondence, 1947-1948: Scan 16",folder,03823_0017_0016.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,3,59.jp2,Content/03823/image/59.jp2,5291542 Bytes,5291542,bucket\03823_nccic\03823_0017\03823_0017_0016.tif,19359544 Bytes,19359544
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.","Folder 12: Correspondence, 1944-May 1946: Scan 44",folder,03823_0012_0044.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,4,152.jp2,Content/03823/image/152.jp2,1746399 Bytes,1746399,bucket\03823_nccic\03823_0012\03823_0012_0044.tif,4526254 Bytes,4526254
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 16: Correspondence, 1947-1948: Scan 15",folder,03823_0016_0015.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,5,360.jp2,Content/03823/image/360.jp2,7633196 Bytes,7633196,bucket\03823_nccic\03823_0016\03823_0016_0015.tif,22851671 Bytes,22851671
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.","Folder 9: Correspondence, 1943: Scan 15",folder,03823_0009_0015.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,6,503.jp2,Content/03823/image/503.jp2,4772963 Bytes,4772963,bucket\03823_nccic\03823_0009\03823_0009_0015.tif,18935044 Bytes,18935044
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 19: Correspondence, 1947-1948: Scan 12",folder,03823_0019_0012.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,7,222.jp2,Content/03823/image/222.jp2,10301523 Bytes,10301523,bucket\03823_nccic\03823_0019\03823_0019_0012.tif,25278344 Bytes,25278344
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 13: Correspondence, August-December 1946: Scan 6",folder,03823_0013_0006.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,8,408.jp2,Content/03823/image/408.jp2,4544632 Bytes,4544632,bucket\03823_nccic\03823_0013\03823_0013_0006.tif,18302170 Bytes,18302170
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.","Folder 7: Correspondence, 1942: Scan 34",folder,03823_0007_0034.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,9,411.jp2,Content/03823/image/411.jp2,5646702 Bytes,5646702,bucket\03823_nccic\03823_0007\03823_0007_0034.tif,19838143 Bytes,19838143
