Collection Number,Object,filename,Date created,Date modified
P0032,"Color 35mm Slide 2_0098: Steam engine 4501, Mikado type, used on Southern Railway steam excursions, circa 1972: Scan 1",P0032_2_0098_0001.tif,2011-02-08,2011-04-19
P0032,"Color 35mm Slide 2_0098: Steam engine 4501, Mikado type, used on Southern Railway steam excursions, circa 1972: Scan 1",P0032_2_0098_0001.tif,2011-05-12,2011-05-12
P0032,"Color 35mm Slide 2_0123: Mikado type steam engine, Number 4501 used in passenger train excursions throughout the Southern Railway System, date unknown: Scan 1",P0032_2_0123_0001.tif,2011-02-08,2011-04-19
P0032,"Color 35mm Slide 2_0123: Mikado type steam engine, Number 4501 used in passenger train excursions throughout the Southern Railway System, date unknown: Scan 1",P0032_2_0123_0001.tif,2011-05-12,2011-05-12
P0032,"Color 35mm Slide 2_0134: Green and gold-trimmed excursion passenger train at Newton, N.C., during United States Bicentennial, May 1976: Scan 1",P0032_2_0134_0001.tif,2011-02-08,2011-04-19
P0032,"Color 35mm Slide 2_0134: Green and gold-trimmed excursion passenger train at Newton, N.C., during United States Bicentennial, May 1976: Scan 1",P0032_2_0134_0001.tif,2011-05-12,2011-05-12
P0032,"Color 35mm Slide 2_0207: A collection of pictures made in the spring of the year at Biltmore House showing tulips, dogwoods, and azaleas, April 1981: Scan 1",P0032_2_0207_0001.tif,2011-05-12,2011-05-12
P0032,"Color 35mm Slide 2_0207: A collection of pictures made in the spring of the year at Biltmore House showing tulips, dogwoods, and azaleas, April 1981: Scan 1",P0032_2_0213_0001.tif,2011-05-12,2011-05-12
P0032,"Color 35mm Slide 2_0207: A collection of pictures made in the spring of the year at Biltmore House showing tulips, dogwoods, and azaleas, April 1981: Scan 1",P0032_2_0218_0001.tif,2011-05-12,2011-05-12
P0032,"Color 35mm Slide 2_0207: A collection of pictures made in the spring of the year at Biltmore House showing tulips, dogwoods, and azaleas, April 1981: Scan 1",P0032_2_0223_0001.tif,2011-05-12,2011-05-12
P0032,"Color 35mm Slide 2_0207: A collection of pictures made in the spring of the year at Biltmore House showing tulips, dogwoods, and azaleas, April 1981: Scan 1",P0032_2_0217_0001.tif,2011-05-12,2011-05-12
P0032,"Color 35mm Slide 2_0207: A collection of pictures made in the spring of the year at Biltmore House showing tulips, dogwoods, and azaleas, April 1981: Scan 1",P0032_2_0225_0001.tif,2011-05-12,2011-05-12
P0032,"Color 35mm Slide 2_0207: A collection of pictures made in the spring of the year at Biltmore House showing tulips, dogwoods, and azaleas, April 1981: Scan 1",P0032_2_0229_0001.tif,2011-05-12,2011-05-12
P0032,"Color 35mm Slide 2_0207: A collection of pictures made in the spring of the year at Biltmore House showing tulips, dogwoods, and azaleas, April 1981: Scan 1",P0032_2_0219_0001.tif,2011-05-12,2011-05-12
